"code","name","ekatte"
"SFO25","Костенец","38902"
"SFO26","Костинброд","38978"
"SLV11","Котел","39030"
"KNL27","Кочериново","39116"
"BLG28","Кресна","14492"
"VRC21","Криводол","39846"
"PDV39","Кричим","39921"
"KRZ15","Крумовград","39970"
"DOB20","Крушари","40097"
"RAZ16","Кубрат","40422"
"PDV42","Куклен","40467"
"VID22","Кула","40525"
"KRZ16","Кърджали","40909"
"KNL29","Кюстендил","41112"
"PVN16","Левски","43236"
"PAZ14","Лесичово","43369"
"LOV17","Летница","43476"
"LOV18","Ловеч","43952"
"RAZ17","Лозница","44166"
"MON24","Лом","44238"
"LOV19","Луковит","44327"
"PDV15","Лъки","44478"
"HKV17","Любимец","44570"
"VTR20","Лясковец","44793"
"SML16","Мадан","46045"
"HKV18","Маджарово","46084"
"VID25","Макреш","46245"
"BGS12","Малко Търново","46663"
"PDV17","Марица","56784"
"MON26","Медковец","47593"
"VRC27","Мездра","47714"
"VRC28","Мизия","48043"
"HKV19","Минерални бани","48297"
"SFO56","Мирково","48324"
"KRZ21","Момчилград","48996"
"MON29","Монтана","48489"
"SZR22","Мъглиж","49494"
"KNL31","Невестино","51216"
"SML18","Неделино","51319"
"BGS15","Несебър","51500"
"SHU21","Никола Козлево","51651"
"SZR38","Николаево","51648"
"PVN21","Никопол","51723"
"SLV16","Нова Загора","51809"
"SHU22","Нови пазар","52009"
"VID30","Ново село","52180"
"TGV22","Омуртаг","53535"
"TGV23","Опака","53552"
"SZR23","Опан","53576"
"VRC31","Оряхово","54020"
"SZR24","Павел баня","55021"
"VTR22","Павликени","55052"
"PAZ19","Пазарджик","55155"
"PAZ20","Панагюрище","55302"
"PER32","Перник","55871"
"PDV40","Перущица","55909"
"BLG33","Петрич","56126"
"PAZ21","Пещера","56277"
"SFO55","Пирдоп","56407"
"PVN24","Плевен","56722"
"PDV22","Пловдив","56784"
"VTR26","Полски Тръмбеш","57354"
"BGS17","Поморие","57491"
"TGV24","Попово","57649"
"PVN27","Пордим","57772"
"SFO34","Правец","58030"
"BGS27","Приморско","58356"
"VAR24","Провадия","58503"
"PDV23","Първомай","59080"
"SZR27","Раднево","61460"
"PER36","Радомир","61577"
"RAZ26","Разград","61710"
"BLG37","Разлог","61813"
"PAZ24","Ракитово","62004"
"PDV25","Раковски","62075"
"KNL38","Рила","62671"
"PDV26","Родопи","56784"
"VRC32","Роман","62997"
"SML27","Рудозем","63207"
"BGS18","Руен","63224"
"VID33","Ружинци","63255"
"RSE27","Русе","63427"
"PDV28","Садово","65139"
"SFO39","Самоков","65231"
"RAZ29","Самуил","65276"
"BLG40","Сандански","65334"
"KNL41","Сапарева баня","65365"
"BLG42","Сатовча","65440"
"HKV28","Свиленград","65677"
"VTR28","Свищов","65766"
"SFO43","Своге","65869"
"GAB29","Севлиево","65927"
"PAZ29","Септември","66264"
"SLS31","Силистра","66425"
"HKV29","Симеоновград","47278"
"BLG44","Симитли","66460"
"SLS32","Ситово","66665"
"SLV20","Сливен","67338"
"SFO45","Сливница","67372"
"RSE33","Сливо поле","67444"
"SML31","Смолян","67653"
"SHU25","Смядово","67708"
"BGS21","Созопол","67800"
"PDV43","Сопот","68080"
"SOF46","Столична","68134"
"BGS06","Средец","17974"
"PDV41","Стамболийски","51980"
"HKV30","Стамболово","68727"
"SZR31","Стара Загора","68850"
"VTR31","Стражица","69633"
"JAM22","Стралджа","69660"
"PAZ32","Стрелча","69835"
"BLG49","Струмяни","69969"
"VAR26","Суворово","70175"
"BGS23","Сунгурларе","70247"
"VTR32","Сухиндол","70295"
"PAZ39","Сърница","70648"
"PDV33","Съединение","70528"
"SLV24","Твърдица","72165"
"DOB27","Тервел","72271"
"LOV33","Тетевен","72343"
"HKV32","Тополовград","72761"
"KNL50","Трекляно","73047"
"LOV34","Троян","73198"
"PER51","Трън","73273"
"GAB35","Трявна","73403"
"JAM25","Тунджа","87374"
"SLS34","Тутракан","73496"
"TGV35","Търговище","73626"
"LOV36","Угърчин","75054"
"BLG52","Хаджидимово","77058"
"VRC35","Хайредин","77102"
"HKV33","Харманли","77181"
"HKV34","Хасково","77195"
"PDV37","Хисаря","77270"
"SHU11","Хитрино","14516"
"RAZ36","Цар Калоян","77308"
"BGS13","Царево","48619"
"RSE37","Ценово","78361"
"SFO57","Чавдар","80011"
"SFO58","Челопеч","80323"
"SML38","Чепеларе","80371"
"PVN37","Червен бряг","80501"
"KRZ35","Черноочене","81236"
"MON36","Чипровци","81390"
"SZR36","Чирпан","81414"
"VID37","Чупрене","81757"
"DOB29","Шабла","83017"
"SHU30","Шумен","83510"
"LOV38","Ябланица","87014"
"MON38","Якимово","87299"
"BLG53","Якоруда","87338"
"JAM26","Ямбол","87374"
