"code","type","firma","bulstat","fobshtina","fgrad","vei","vobshtina","vgrad","moshtnost","vavejdane","geo"
"КУД901СЕ0000","СЕ","”Калудов 2009” ООД",200971109,"Бургас","Бургас","ФтЕЦ ”Калудов”","Карнобат","с. Драганци",0.07992,260112,"42.57070,26.98752"
"АРЕР01СЕ0000","СЕ","”Агроеър” ЕООД",103807758,"Вълчи дол","Вълчи дол","ФтЕЦ ”Вълчи дол”","Вълчи дол","Вълчи дол",0.0648,210611,"43.40900,27.54907"
"БРДР01СЕ0000","СЕ","”Солар Брадърс” ООД",200369768,"Харманли","Харманли","ФтЕЦ ”Солар Брадърс”","Хараманли","с. Браница",0.078,240112,"42.00804,26.08566"
"ЕМБГ01СЕ0000","СЕ","”ЕМ БГ” ООД",175082375,"Столична","София","ФтЕЦ ”ЕМ БГ”","Благоевград","Благоевград",0.021,200509,"42.00568,23.10235"
"ТРЙД01СЕ0000","СЕ","”Трейд ит” ЕООД - клон Първомай",200541972,"Първомай","Първомай","ФтЕЦ ”Крушево”","Първомай","с. Крушево",0.05,40811,"42.13874,25.23297"
"МРКН01ВД0000","ВД","ЕТ ”Елкомерс - Красимир Николов”",821110212,"Монтана","Монтана","ВЕЦ ”Бели Вит”","Тетевен","Тетевен",0.22,10138,"42.92356,24.24862"
"ФВДТ01СЕ0000","СЕ","”Фотоволтаик Дивелопмънт” ООД",200814385,"Столична","София","ФтЕЦ ”Олаф”","Брезник","с. Кошарево",0.37,100112,"42.67451,22.77581"
"ММСО01СЕ0000","СЕ","”ЗММ Солар” ЕООД",201471562,"Столична","София","ФтЕЦ ”ЗММ Солар”","Столична","София",0.9475,20212,"42.71719,23.36749"
"БАДО01ВД0000","ВД","”Балдор” ЕООД",40864860,"Столична","София","ВЕЦ ”Брусен”","Мездра","с. Брусен",0.372,200193,"43.13844,23.74445"
"ЕЕМГ01СЕ0000","СЕ","”Еко Ел МГ” ЕООД",200501999,"Ямбол","с. Гълъбинци","ФтЕЦ ”Еко Ел - Гълъбинци”","Ямбол","с. Гълъбинци",0.02592,80711,"42.4281181,26.2587273"
"ФОКО01ВЕ0000","ВЕ","”Фото-Комерс” ООД",119667806,"Сливен","Сливен","ВтЕЦ ”Забития камък”","Сливен","с. Тополчане",0.3,120407,"42.65626,26.42523"
"ФОКО02СЕ0000","СЕ","”Фото-Комерс” ООД",119667806,"Сливен","Сливен","ФтЕЦ ”Забития камък”","Сливен","с. Тополчане",0.02241,201010,"42.65021,26.43093"
"ТИПИ01ВЕ0000","ВЕ","”Ти Пи План” ЕООД",175394720,"Столична","София","ВтЕЦ ”Ти Пи План - Тополчане”","Сливен","с. Тополчане",0.225,90908,"42.65640,26.42842"
"ФМСО01СЕ0000","СЕ","”ФМ Сол” ООД",201711648,"Столична","София","ФтЕЦ ”Ловеч”","Ловеч","Ловеч",4.4,161211,"43.16499,24.71817"
"ЗОВА01ВД0000","ВД","ЕТ ”Зойка Крайкова”",40432320,"Петрич","с. Габрене","МВЕЦ ”Габрене”","Петрич","с. Габрене",0.198,221211,"41.36693,22.97882"
"БЛБИ01ВД0000","ВД","”Благоевградска Бистрица” ООД",175275132,"Столична","София","ВЕЦ ”Благоевградска Бистрица - 4”","Благоевград","с. Бистрица",0.65,151211,"42.06853,23.14806"
"СТРЕ01ВД0000","ВД","”ВЕЦ Станкова река” ЕООД",101665865,"Столична","София","ВЕЦ ”Станкова река”","Белица","Белица",0.92,100309,"41.95550,23.55687"
"БТРД01СЕ0000","СЕ","”Бест Енерджи” ЕООД",200470450,"Стара Загора","Стара Загора","ФтЕЦ ”Бест Енерджи”","Стара Загора","с. Горно Ботево",0.00924,10110,"42.41837,25.79823"
"ХРОД01ВД0000","ВД","”Хидро” ООД",40282671,"Столична","София","ВЕЦ ”Севлиево”","Севлиево","с. Сенник",0.1,70301,"42.96791,25.04865"
"РОУД01ВД0000","ВД","”Роуд - Енерджи” ООД",101545734,"Благоевград","Благоевград","МВЕЦ ”Ощава”","Кресна","с. Ощава",0.4,70104,"41.78977,23.22441"
"ГРЙН01СЕ0000","СЕ","ЕТ ”Грейн - Янко Георгиев”",102860195,"Айтос","Айтос","ФтЕЦ ”Грейн - Айтос”","Айтос","Айтос",0.15,120811,"42.70583,27.24274"
"ЗЛСО01СЕ0000","СЕ","”Златен лев Солар” ЕООД",200067549,"Слатина","София","ФтЕЦ ”Златен лев Солар”","Пазарджик","Пазарджик",0.121,150210,"42.16712,24.33759"
"МТВИ01СЕ0000","СЕ","”Матееви” ООД",107590330,"Габрово","Габрово","ФтЕЦ ”Матееви”","Габрово","Габрово",0.02681,270710,"42.87678,25.32073"
"ККМК01СЕ0000","СЕ","ЕТ ”Кери-К Марин Керчев”",102264682,"Поморие","Поморие","ФтЕЦ ”Кери - Оризаре”","Несебър","с. Оризаре",0.2,30409,"42.75036,27.62576"
"ККМК02ВЕ0000","ВЕ","ЕТ ”Кери-К Марин Керчев”",102264682,"Поморие","Поморие","ВтЕЦ ”Кери - Вресово”","Руен","с. Вресово",0.26,121108,"42.80906,27.19880"
"КРМА01ВЕ0000","ВЕ","ЕТ ”Креони - Марин Асъмов”",102704189,"Бургас","Бургас","ВтЕЦ ”Креони - Дрянковец”","Айтос","с. Дрянковец",0.49,21208,"42.68664,27.37738"
"КРМА02ВЕ0000","ВЕ","ЕТ ”Креони - Марин Асъмов”",102704189,"Бургас","Бургас","ВтЕЦ ”Креони - Банево”","Айтос","с. Банево",0.15,70806,"42.62431,27.41114"
"ФАОН01ВЕ0000","ВЕ","”Фалкон” ЕООД",102832930,"Бургас","Бургас","ВтЕЦ ”Фалкон - Трояново”","Камено","с. Троян",0.26,301108,"42.55810,27.14515"
"ВЕ2001ВД0000","ВД","”Вега 2000” ООД",130526039,"Пирдоп","Пирдоп","ВЕЦ ”Душанци”","Пирдоп","с. Душанци",0.44,70403,"42.70028,24.25446"
"СБОГ01ВД0000","ВД","”Стобог” ООД",130171976,"Велинград","Велинград","ВЕЦ ”Долене 1”","Велинград","Велинград",1.128,70212,"41.98699,23.96435"
"ДМТ601СЕ0000","СЕ","”ДМТ 2006” ЕООД",123755728,"Стара Загора","Стара Загора","ФтЕЦ ”ДМТ - Кирилово”","Стара Загора","с. Кирилово",0.096,231111,"42.36880,25.51551"
"МЕГР01ВЕ0000","ВЕ","”Мега Груп 7” ЕООД",200105505,"Бургас","Бургас","ВтЕЦ ”Мега Груп - Пещерско”","Айтос","с. Пещерско",0.15,250708,"42.74214,27.34140"
"МАЛЧ01СЕ0000","СЕ","”Малчо” ЕООД",120614312,"Златоград","Златоград","ФтЕЦ ”Златоград”","Златоград","Златоград",0.027495,180511,"41.38154,25.08968"
"МГСЛ01СЕ0000","СЕ","”Мега Солар” ООД",200842922,"Карлово","Карлово","ФтЕЦ ”77.76”","Карлово","с. Каравелово",0.0777,140611,"42.63376,24.65443"
"ЕГБ901СЕ0000","СЕ","”Енерджи Груп БГ 2009” ЕООД",200642430,"Пловдив","Пловдив","ФтЕЦ ”Ръжево Конаре”","Калояново","с. Ръжево Конаре",4.99928,120112,"42.33396,24.82764"
"ЙОАН02ВЕ0000","ВЕ","”Йоана” ЕООД",119014399,"Сливен","Сливен","ВтЕЦ ”Бяла 2”","Сливен","с. Бяла",0.45,161204,"42.7309624,26.1911906"
"ЙОАН03ВЕ0000","ВЕ","”Йоана” ЕООД",119014399,"Сливен","Сливен","ВтЕЦ ”Бяла 3”","Сливен","с. Бяла",1,201006,"42.7309624,26.1911906"
"СКСЛ01СЕ0000","СЕ","”Сакар Солар” ООД",200023428,"Любимец","Любимец","ФтЕЦ ”Сакар Солар”","Любимец","с. Оряхово",0.20064,271211,"41.92670,26.15694"
"МДИС01СЕ0000","СЕ","”МДИ - Солар” ЕООД",200619257,"Любимец","Любимец","ФтЕЦ ”МДИ - Солар”","Любимец","с. Оряхово",0.0608,271211,"41.91546,26.15960"
"ИСЕН01СЕ0000","СЕ","”Исена” ЕООД",200203629,"Любимец","Любимец","ФтЕЦ ”Исена”","Любимец","с. Оряхово",0.40128,271211,"41.92715,26.15999"
"МТПА01СЕ0000","СЕ","”Ем Те Пауар” ООД",126682267,"Минерални бани","с. Спахиево","ФтЕЦ ”Спахиево”","Минерални бани","с. Спахиево",0.102,110112,"41.89528,25.32803"
"РЕСТ01СЕ0000","СЕ","”РЕС Технолъджи” АД",201429314,"Столична","София","ФтЕЦ ”Златарица”","Велико Търново","Златарица",20,270212,"43.03803,25.89619"
"ВАМА01СЕ0000","СЕ","”Вама” ООД",102209252,"Бургас","Бургас","ФтЕЦ ”Вама - Малка поляна”","Айтос","с. Малка поляна",0.074,111111,"42.63702,27.24096"
"ТЕКС01СЕ0000","СЕ","”Теко - Солар” ООД",201486646,"Харманли","Харманли","ФтЕЦ ”Теко - Солар”","Симеоновград","Константиново",0.08007,61011,"41.99200,25.79366"
"ЕКФА02ВЕ0000","ВЕ","”Еко Фарм” ООД",119606034,"Сливен","Сливен","ВтЕЦ ”Еко Фарм - Бяла 2”","Сливен","с. Бяла",1.2,160108,"42.7309624,26.1911906"
"АНМО01ВЕ0000","ВЕ","”Анемос” ООД",131403299,"Столична","София","ВтЕЦ ”Пролез”","Шабла","с. Пролез",0.5,250708,"43.57498,28.45649"
"ЕЛШС01ВЕ0000","ВЕ","”Електрауиндс Шабла Саут” АД",200853502,"Столична","София","ВтЕЦ ”Шабла - Юг”","Шабла","Шабла",4,231211,"43.52714,28.52432"
"ПНПС01СЕ0000","СЕ","”ПиЕнПи Солар” ООД",200920577,"Столична","София","ФтЕЦ ”Бойница 1”","Бойница","с. Бойница",0.1,110112,"43.9575807,22.5325125"
"ЕВА501СЕ0000","СЕ","”Ева 2005” ООД",200566826,"Елхово","Елхово","ФтЕЦ ”Ева - Кирилово”","Елхово","с. Кирилово",0.0684,180711,"42.22584,26.60532"
"АЙРО01СЕ0000","СЕ","”Айви роуд” ЕООД",200205509,"Калояново","с. Бегово","ФтЕЦ ”Бегово”","Калояново","с. Бегово",0.0594,161211,"42.40599,24.82961"
"КРЕМ01СЕ0000","СЕ","”Креми” ООД",102935356,"Бургас","Бургас","ФтЕЦ ”Креми - Веселие”","Приморско","с. Веселие",0.02,300611,"42.32814,27.62119"
"УНКО01ВЕ0000","ВЕ","”Уинком” ЕООД",131417256,"Столична","София","ВтЕЦ ”Тополчане”","Сливен","с. Тополчане",0.5,270206,"42.65403,26.41834"
"ННТР01СЕ0000","СЕ","”Новинтер” ЕООД",200529386,"Столична","София","ФтЕЦ ”Новинтер - Ботево”","Тунджа","с. Ботева",2,21109,"42.36184,26.36793"
